,Vader_compound,Vader_pos,Vader_neg,Vader_neutral,Time
0,0.2187,0.153,0.139,0.708,2020-08-11 11:45:06+00:00
1,0.5057,0.34,0.157,0.504,2020-06-23 04:39:14+00:00
2,-0.9412,0.055,0.268,0.677,2020-06-18 14:17:12+00:00
3,-0.2263,0.11,0.178,0.712,2020-05-23 12:23:48+00:00
4,-0.866,0.051,0.227,0.722,2020-05-22 22:46:25+00:00
5,-0.7798,0.047,0.182,0.77,2020-05-18 14:44:21+00:00
6,-0.73,0.152,0.307,0.541,2020-04-30 12:32:34+00:00
7,-0.819,0.088,0.218,0.694,2020-04-30 04:23:59+00:00
8,-0.8268,0.049,0.221,0.73,2020-04-19 16:58:51+00:00
9,-0.7761,0.06,0.265,0.675,2020-04-06 12:32:45+00:00
10,-0.9572,0.051,0.366,0.583,2020-03-04 15:57:08+00:00
11,-0.7712,0.0,0.455,0.545,2020-01-28 05:26:57+00:00
12,-0.9209,0.0,0.252,0.748,2020-01-25 14:37:54+00:00
13,-0.8689,0.0,0.351,0.649,2019-12-11 14:40:48+00:00
14,-0.9077,0.072,0.291,0.636,2019-11-17 19:30:09+00:00
15,-0.9077,0.072,0.291,0.636,2019-11-17 19:26:04+00:00
16,-0.1759,0.061,0.076,0.863,2019-09-19 14:47:30+00:00
17,-0.6249,0.135,0.206,0.659,2019-08-31 19:06:26+00:00
18,-0.8478,0.0,0.213,0.787,2019-07-31 15:31:04+00:00
19,-0.4367,0.095,0.145,0.76,2019-07-31 15:31:03+00:00
20,0.7564,0.241,0.159,0.6,2019-07-04 13:05:17+00:00
21,0.0863,0.152,0.147,0.701,2019-06-03 07:51:19+00:00
22,-0.8921,0.141,0.324,0.536,2019-05-24 03:19:46+00:00
23,-0.7275,0.074,0.154,0.772,2019-05-23 12:29:04+00:00
24,0.1317,0.324,0.281,0.395,2019-04-28 02:57:31+00:00
25,-0.9484,0.084,0.319,0.597,2019-04-23 10:54:34+00:00
26,-0.2244,0.207,0.236,0.558,2019-01-01 15:32:30+00:00
27,0.4914,0.191,0.147,0.662,2018-12-07 20:02:34+00:00
28,-0.5772,0.084,0.167,0.749,2018-09-05 03:01:43+00:00
29,-0.2465,0.166,0.157,0.677,2018-08-28 14:21:08+00:00
30,0.2479,0.175,0.194,0.631,2018-08-17 14:10:25+00:00
31,0.2479,0.175,0.194,0.631,2018-08-17 14:06:13+00:00
32,0.6239,0.249,0.098,0.653,2018-08-04 03:37:36+00:00
33,-0.9146,0.04,0.228,0.732,2018-07-29 11:58:09+00:00
34,-0.9651,0.0,0.342,0.658,2018-07-27 11:38:32+00:00
35,-0.4102,0.181,0.167,0.652,2018-06-30 19:44:09+00:00
36,-0.5629,0.035,0.113,0.852,2018-06-22 11:00:36+00:00
37,-0.92,0.059,0.31,0.631,2018-05-23 10:45:37+00:00
38,-0.9536,0.0,0.293,0.707,2018-04-27 10:26:35+00:00
39,-0.75,0.047,0.157,0.796,2018-04-22 20:04:10+00:00
40,-0.5748,0.062,0.161,0.777,2018-04-01 14:25:46+00:00
41,0.3164,0.188,0.145,0.667,2017-12-29 13:04:09+00:00
42,-0.9272,0.0,0.221,0.779,2017-12-11 14:17:18+00:00
43,-0.8718,0.0,0.412,0.588,2017-11-15 16:52:33+00:00
44,-0.863,0.056,0.335,0.609,2017-07-01 13:20:35+00:00
45,-0.7922,0.069,0.269,0.662,2017-02-02 03:55:49+00:00
46,-0.8173,0.112,0.297,0.592,2016-10-23 23:40:14+00:00
47,0.1425,0.283,0.271,0.446,2016-10-05 00:12:59+00:00
48,-0.7423,0.085,0.284,0.631,2016-09-24 02:09:56+00:00
49,-0.7902,0.0,0.219,0.781,2016-09-09 00:39:36+00:00
50,-0.8716,0.0,0.352,0.648,2016-09-02 12:28:58+00:00
51,0.0772,0.117,0.107,0.777,2016-08-10 15:08:01+00:00
52,-0.6969,0.0,0.224,0.776,2016-07-30 22:04:14+00:00
53,-0.8449,0.0,0.279,0.721,2016-07-25 11:57:17+00:00
54,0.3987,0.198,0.109,0.693,2016-07-18 20:48:00+00:00
55,-0.1986,0.201,0.253,0.546,2016-07-13 04:54:40+00:00
56,0.34,0.184,0.106,0.71,2016-05-11 19:37:51+00:00
57,-0.7644,0.105,0.287,0.608,2016-04-29 11:22:04+00:00
58,-0.7352,0.176,0.377,0.447,2016-04-26 10:42:39+00:00
59,-0.5562,0.0,0.135,0.865,2016-04-01 04:23:25+00:00
60,-0.6996,0.0,0.182,0.818,2016-03-19 04:11:18+00:00
61,-0.5106,0.0,0.136,0.864,2016-03-06 17:25:25+00:00
62,-0.8268,0.0,0.251,0.749,2016-02-25 12:34:11+00:00
63,-0.5106,0.0,0.148,0.852,2016-02-17 16:10:30+00:00
64,-0.8801,0.0,0.361,0.639,2016-02-06 02:01:35+00:00
65,-0.8584,0.085,0.332,0.583,2016-01-27 13:02:52+00:00
66,-0.7506,0.0,0.234,0.766,2016-01-24 01:21:16+00:00
